,ranking
season,1
pos_QB,1
pos_FB,1
burst_score,1
speed_score,1
bmi,1
ht_inch,1
school_encoded,1
forty_time_s,1
wt_lbs,1
bench_reps,2
broad_jump_in,3
vertical_in,4
pos_P,5
pos_OT,6
draft_year,7
pos_ILB,8
pos_TE,9
pos_RB,10
pos_LB,11
pos_LS,12
pos_K,13
pos_DL,14
pos_OLB,15
pos_WR,16
pos_DB,17
pos_S,18
pos_EDGE,19
pos_OL,20
pos_DT,21
pos_DE,22
pos_CB,23
shuttle_sec,24
pos_OG,25
cone_sec,26
was_drafted,27
