,0
speed_score,0.09961892461188808
bmi,0.0925866859402229
school_encoded,0.09144112285679362
wt_lbs,0.087279675445551
forty_time_s,0.07778153215362288
burst_score,0.0712779978579127
season,0.0647457507603324
vertical_in,0.06338710537280007
ht_inch,0.059663511606461044
broad_jump_in,0.059453875170963365
bench_reps,0.05717212940711187
shuttle_sec,0.04233756783955089
cone_sec,0.03837485076204681
pos_WR,0.009494045194036113
pos_CB,0.007534316412443815
pos_S,0.006876564134644513
pos_RB,0.006292964940090975
pos_DE,0.005827873719390015
pos_DT,0.005774308969851044
pos_OT,0.005367681257217078
pos_TE,0.0053550430182517485
pos_QB,0.005202036635893319
pos_LB,0.005115209074325032
pos_OLB,0.00454294546215396
pos_DL,0.004541599649818339
pos_OL,0.004456223164109157
pos_OG,0.004261481264513011
pos_EDGE,0.0036534809672865032
pos_ILB,0.0030561887718117586
pos_DB,0.0027303234424048005
pos_P,0.001798582068692057
pos_K,0.0016202013572524747
pos_FB,0.0010035532482571582
pos_LS,0.00037464746229964294
was_drafted,0.0
