,0
speed_score,0.15963516563548735
school_encoded,0.11682192620816634
bmi,0.09692100882765722
wt_lbs,0.0811111009110059
burst_score,0.06690837294953822
forty_time_s,0.06659987051008617
vertical_in,0.05714127571642822
season,0.05563739916690959
bench_reps,0.05389524485199793
ht_inch,0.05041594418842763
broad_jump_in,0.048445620291189255
shuttle_sec,0.03365190255752663
cone_sec,0.031555030680725175
pos_QB,0.011233708108794958
pos_WR,0.008097171556754741
pos_CB,0.006411056703534669
pos_S,0.00513962259556458
pos_OT,0.004950856076554011
pos_DE,0.004745161014738709
pos_LB,0.004633902201584512
pos_RB,0.00420559106686288
pos_TE,0.004092415707421781
pos_DT,0.003917550486021246
pos_OL,0.0035431553687378
pos_OLB,0.003375684906178059
pos_DL,0.0029776786768516313
pos_EDGE,0.0027783483960644177
pos_OG,0.002684300068212971
pos_DB,0.002213106757896532
pos_ILB,0.002025942334332417
pos_P,0.0017468288405466236
pos_FB,0.0015533501764403016
pos_K,0.0008575257943668974
pos_LS,7.718066739462751e-05
was_drafted,0.0
